id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;SDS_exam scrape;requests;1566722851.4353;-1.3360908031463623;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=10&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=10&sort=date-a;285655;200;True;
1;SDS_exam scrape;requests;1566722857.398189;-1.0052218437194824;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=11&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=11&sort=date-a;284059;200;True;
2;SDS_exam scrape;requests;1566722863.0134761;-1.0210509300231934;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=12&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=12&sort=date-a;285631;200;True;
3;SDS_exam scrape;requests;1566722868.6352818;-0.8223171234130859;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=13&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=13&sort=date-a;285685;200;True;
4;SDS_exam scrape;requests;1566722874.049393;-0.8387420177459717;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=14&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=14&sort=date-a;285639;200;True;
5;SDS_exam scrape;requests;1566722879.4933178;-1.43215012550354;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=15&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=15&sort=date-a;285660;200;True;
6;SDS_exam scrape;requests;1566722885.565652;-1.159487009048462;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=16&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=16&sort=date-a;285706;200;True;
7;SDS_exam scrape;requests;1566722891.340839;-1.3617699146270752;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=17&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=17&sort=date-a;285749;200;True;
8;SDS_exam scrape;requests;1566722897.308268;-1.0274569988250732;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=18&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=18&sort=date-a;285706;200;True;
9;SDS_exam scrape;requests;1566722902.9484959;-1.6434290409088135;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=19&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=19&sort=date-a;284074;200;True;
10;SDS_exam scrape;requests;1566722909.2083478;-1.3443052768707275;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=20&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=20&sort=date-a;284026;200;True;
11;SDS_exam scrape;requests;1566722915.16992;-1.8014459609985352;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=21&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=21&sort=date-a;285743;200;True;
12;SDS_exam scrape;requests;1566722921.585036;-2.759493827819824;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=22&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=22&sort=date-a;284024;200;True;
13;SDS_exam scrape;requests;1566722928.9435709;-1.4665961265563965;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=23&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=23&sort=date-a;284072;200;True;
14;SDS_exam scrape;requests;1566722935.0128682;-0.9449148178100586;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=24&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=24&sort=date-a;285749;200;True;
15;mstation_scrape;requests;1566722940.60268;-0.0930631160736084;https://en.wikipedia.org/wiki/List_of_Copenhagen_Metro_stations;https://en.wikipedia.org/wiki/List_of_Copenhagen_Metro_stations;126448;200;True;
16;sstation_scrape;requests;1566722944.124883;-0.024394989013671875;https://en.wikipedia.org/wiki/List_of_Copenhagen_S-train_stations;https://en.wikipedia.org/wiki/List_of_Copenhagen_S-train_stations;150090;200;True;
2;SDS_exam scrape;requests;1566730250.730942;-1.1306500434875488;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=10&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=10&sort=date-a;285605;200;True;
3;SDS_exam scrape;requests;1566730256.521921;-0.6686270236968994;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=11&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=11&sort=date-a;285674;200;True;
4;SDS_exam scrape;requests;1566730261.794039;-1.237372875213623;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=12&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=12&sort=date-a;285681;200;True;
5;SDS_exam scrape;requests;1566730267.631326;-0.6094560623168945;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=13&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=13&sort=date-a;285685;200;True;
6;SDS_exam scrape;requests;1566730272.844171;-0.9278299808502197;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=14&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=14&sort=date-a;285639;200;True;
7;SDS_exam scrape;requests;1566730278.373149;-1.0275251865386963;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=15&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=15&sort=date-a;284045;200;True;
8;SDS_exam scrape;requests;1566730284.00529;-0.9310688972473145;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=16&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=16&sort=date-a;285656;200;True;
9;SDS_exam scrape;requests;1566730289.545954;-0.7226681709289551;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=17&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=17&sort=date-a;285749;200;True;
10;SDS_exam scrape;requests;1566730294.8630831;-1.2330749034881592;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=18&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=18&sort=date-a;284041;200;True;
11;SDS_exam scrape;requests;1566730300.702433;-0.8131778240203857;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=19&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=19&sort=date-a;284074;200;True;
12;SDS_exam scrape;requests;1566730306.112757;-1.2424349784851074;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=20&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=20&sort=date-a;284026;200;True;
2;SDS_exam scrape;requests;1566730386.440633;-0.9962818622589111;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=10&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=10&sort=date-a;285655;200;True;
3;SDS_exam scrape;requests;1566730392.052062;-0.7218270301818848;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=11&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=11&sort=date-a;285674;200;True;
4;SDS_exam scrape;requests;1566730397.392672;-0.6933450698852539;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=12&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=12&sort=date-a;284016;200;True;
5;SDS_exam scrape;requests;1566730402.689719;-1.1614439487457275;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=13&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=13&sort=date-a;285735;200;True;
6;SDS_exam scrape;requests;1566730408.455703;-0.9919359683990479;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=14&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=14&sort=date-a;285639;200;True;
7;SDS_exam scrape;requests;1566730414.04529;-0.8271410465240479;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=15&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=15&sort=date-a;285660;200;True;
8;SDS_exam scrape;requests;1566730419.471798;-0.7286579608917236;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=16&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=16&sort=date-a;285706;200;True;
9;SDS_exam scrape;requests;1566730424.816592;-0.8097209930419922;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=17&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=17&sort=date-a;284084;200;True;
10;SDS_exam scrape;requests;1566730430.227551;-0.6867451667785645;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=18&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=18&sort=date-a;285706;200;True;
11;SDS_exam scrape;requests;1566730435.502228;-1.0821518898010254;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=19&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=19&sort=date-a;285739;200;True;
12;SDS_exam scrape;requests;1566730441.1843278;-0.9944231510162354;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=20&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=20&sort=date-a;285691;200;True;
13;SDS_exam scrape;requests;1566730446.767115;-0.9469380378723145;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=21&sort=date-a;https://www.boliga.dk/salg/resultater?salesDateMin=1995&zipcodeFrom=1000&zipcodeTo=2499&searchTab=1&page=21&sort=date-a;285693;200;True;
