,Address,Sell_price,Date_of_sale,Type,sqm_price,Rooms,m2,Building_year,location,latitude,longitude,m_distance,m_station,s_distance,s_station,m_distance_const,m_station_const,s_distance_const,s_station_const,c_distance,z_sqm_price
0," Pileskellet 8, 2000 Frederiksberg",1009430,1995-01-02, Ejerlejlighed ,6349,5,159,1979,"Pileskellet, Frederiksberg Kommune, Region Hovedstaden, 2500, Danmark",55.67100210000001,12.4974767,,,0.59524,Langgade,1.656,Flintholm,0.289,Ålholm,4.891,
1," Matthæusgade 46B, 5. 548, 1666 København V",168000,1995-01-02, Ejerlejlighed ,3231,1,52,1970,"46B, Matthæusgade, Sorte Hest, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1666, Danmark",55.669807999999996,12.547394,,,0.91072,Dybbølsbro,1.372,Forum,0.969,Carlsberg,2.363,
2," Platanvej 6, 9. 2, 1810 Frederiksberg C",471425,1995-01-02, Ejerlejlighed ,6548,2,72,1972,"6, Platanvej, Sorte Hest, København, Københavns Kommune, Region Hovedstaden, 1810, Danmark",55.672851,12.539769,,,1.48339,Vesterport,1.043,Frederiksberg,1.024,Carlsberg,2.454,
3," Vestergade 13, 2, 1456 København K",830000,1995-01-03, Villa ,5887,5,141,1905,"13, Vestergade, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1456, Danmark",55.677675,12.570428999999999,,,0.51897,Vesterport,0.635,Nørreport,2.649,Carlsberg,1.008,
4," Livjægergade 32, st. th, 2100 København Ø",451280,1995-01-04, Ejerlejlighed ,5712,3,79,1896,"32, Livjægergade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.699109,12.586491,,,0.73908,Nordhavn,1.988,Nørreport,2.932,Bispebjerg,1.723,
5," Englandsvej 47, 1. tv, 2300 København S",384781,1995-01-05, Ejerlejlighed ,5743,3,67,1935,"47, Englandsvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.653413,12.602779,,,3.03055,Dybbølsbro,0.905,DR Byen,4.355,Carlsberg,4.241,
6," Erantisvej 20, 2300 København S",810400,1995-01-06, Villa ,8024,4,101,1923,"20, Erantisvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.644016,12.609832,,,3.95776,Dybbølsbro,1.522,Sundby,5.141,Carlsberg,5.373,
7," Jyllandsvej 13, 2000 Frederiksberg",1522785,1995-01-06, Villa ,10877,3,140,1890,"13, Jyllandsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.677539,12.511477000000001,,,0.49818,Peter Bangs Vej,0.669,Lindevang,1.194,Flintholm,3.825,
8," Betty Nansens Alle 21, 3. tv, 2000 Frederiksberg",1100000,1995-01-06, Ejerlejlighed ,8527,4,129,1976,"Betty Nansens Alle, Frederiksberg Kommune, Region Hovedstaden, 2500, Danmark",55.6702991,12.4979738,,,0.51885,Langgade,1.732,Flintholm,0.352,Ålholm,4.89,
9," Livjægergade 32, 1. tv, 2100 København Ø",465000,1995-01-11, Ejerlejlighed ,5741,4,81,1896,"32, Livjægergade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.699109,12.586491,,,0.73908,Nordhavn,1.988,Nørreport,2.932,Bispebjerg,1.723,
10," Bianco Lunos Alle 4B, 2. th, 1868 Frederiksberg C",464040,1995-01-12, Ejerlejlighed ,7139,2,65,1962,"4B, Bianco Lunos Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 1868, Danmark",55.677385,12.540643,,,1.37954,Vesterport,0.679,Frederiksberg,1.529,Carlsberg,2.123,
11," Åboulevard 34E, 1. tv, 2200 København N",269000,1995-01-12, Ejerlejlighed ,6256,2,43,1885,"34E, Åboulevard, Kødbyen, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.68504300000001,12.555086,,,1.06016,Nørreport,0.394,Forum,2.522,Bispebjerg,0.961,
