,Sell_price,Date_of_sale,Type,sqm_price,Rooms,m2,Building_year,building_address,location,latitude,longitude
0,2500000,2005-12-30, Ejerlejlighed ,32051,3,78,1885,Jakob Dannefærds Vej 6A Frederiksberg C,"6A, Jakob Dannefærds Vej, Kødbyen, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 1973, Danmark",55.683798,12.554063
1,625160,1996-11-03, Ejerlejlighed ,8015,3,78,1885,Jakob Dannefærds Vej 6A Frederiksberg C,"6A, Jakob Dannefærds Vej, Kødbyen, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 1973, Danmark",55.683798,12.554063
2,2400000,2005-10-02, Ejerlejlighed ,31169,3,77,1885,Jakob Dannefærds Vej 6A Frederiksberg C,"6A, Jakob Dannefærds Vej, Kødbyen, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 1973, Danmark",55.683798,12.554063
3,1335000,2005-12-30, Ejerlejlighed ,26700,2,50,1889,Poppelgade 12 København N,"12, Poppelgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.692202,12.558839
4,511560,1998-09-01, Ejerlejlighed ,10031,2,51,1889,Poppelgade 12 København N,"12, Poppelgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.692202,12.558839
5,798000,2001-10-14, Ejerlejlighed ,15647,2,51,1889,Poppelgade 12 København N,"12, Poppelgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.692202,12.558839
6,527300,1998-12-16, Ejerlejlighed ,10339,2,51,1889,Poppelgade 12 København N,"12, Poppelgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.692202,12.558839
7,1200000,2005-12-30, Ejerlejlighed ,27907,1,43,1890,Lille Farimagsgade 1 København Ø,"1, Lille Farimagsgade, Indre Østerbro, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.69094499999999,12.576233
8,1150000,2004-08-07, Ejerlejlighed ,26744,2,43,1890,Lille Farimagsgade 1 København Ø,"1, Lille Farimagsgade, Indre Østerbro, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.69094499999999,12.576233
9,2240000,2005-12-30, Ejerlejlighed ,32464,3,69,1932,Ane Katrines Vej 28 Frederiksberg,"28, Ane Katrines Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.69243,12.53481
10,1435000,2004-12-10, Ejerlejlighed ,20797,3,69,1932,Ane Katrines Vej 28 Frederiksberg,"28, Ane Katrines Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.69243,12.53481
