,Unnamed: 0,Address,Sell_price,Date_of_sale,Type,sqm_price,Rooms,m2,Building_year
0,0," Jakob Dannefærds Vej 6A, 3. th, 1973 Frederiksberg C",2500000,2005-12-30, Ejerlejlighed ,32051,3,78,1885
1,1," Poppelgade 12, 1. tv, 2200 København N",1335000,2005-12-30, Ejerlejlighed ,26700,2,50,1889
2,2," Lille Farimagsgade 1, 1. th, 2100 København Ø",1200000,2005-12-30, Ejerlejlighed ,27907,1,43,1890
3,3," Ane Katrines Vej 28, 1. tv, 2000 Frederiksberg",2240000,2005-12-30, Ejerlejlighed ,32464,3,69,1932
4,4," Bernhard Bangs Alle 9, st. tv, 2000 Frederiksberg",2200000,2005-12-30, Ejerlejlighed ,26506,3,83,1973
5,5," Åbenrå 25, 2, 1124 København K",3435000,2006-01-01, Ejerlejlighed ,37337,2,92,1733
6,6," Kastrupvej 88, 4. th, 2300 København S",1125000,2006-01-02, Ejerlejlighed ,27439,1,41,1936
7,7," Marstalsgade 21, 2. th, 2100 København Ø",880000,2006-01-02, Ejerlejlighed ,16296,2,54,1902
8,8," Rolfsvej 37, 1. th, 2000 Frederiksberg",3895000,2006-01-02, Ejerlejlighed ,35090,4,111,1916
9,9," Birkedommervej 24, 3. tv, 2400 København NV",1450000,2006-01-02, Ejerlejlighed ,27885,2,52,1933
10,10," Brammingegade 8, 1. th, 2100 København Ø",1975000,2006-01-02, Ejerlejlighed ,31855,2,62,1905
11,11," P.D. Løvs Allé 9B, 2. tv, 2200 København N",1650000,2006-01-03, Ejerlejlighed ,31132,2,53,1906
12,12," Borups Alle 132, 5. 1, 2000 Frederiksberg",2900000,2006-01-03, Ejerlejlighed ,25217,4,115,1990
13,13," Geislersgade 11, 3, 2300 København S",2800000,2006-01-03, Ejerlejlighed ,31111,3,90,1901
14,14," Holger Danskes Vej 28A, 2. 8, 2000 Frederiksberg",1095000,2006-01-03, Villa ,26071,1,42,1922
15,15," Drejøgade 26D, 6. 604, 2100 København Ø",1400000,2006-01-03, Ejerlejlighed ,35897,1,39,1974
16,16," Porcelænshaven 5A, st. tv, 2000 Frederiksberg",2695000,2006-01-03, Ejerlejlighed ,25913,3,104,2006
17,17," Falkoner Alle 46, 2. th, 2000 Frederiksberg",2875000,2006-01-04, Ejerlejlighed ,29337,3,98,1914
18,18," Øresund Parkvej 6, 4. tv, 2300 København S",4800000,2006-01-04, Ejerlejlighed ,41379,3,116,2003
