,Unnamed: 0,building_address,location,latitude,longitude
0,2956,Hillerødgade 95 København NV,,,
1,2957,Krogerupgade 59 København N,"59, Krogerupgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.696721999999994,12.540581
2,2959,Ved Grænsen 56 Frederiksberg,"56, Ved Grænsen, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684518000000004,12.498063
3,2961,Frederiksvej 25 Frederiksberg,"25, Frederiksvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.67510600000001,12.516102
4,2963,Ålborggade 30 København Ø,"30, Ålborggade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.705631999999994,12.580166
5,2964,Horsebakken 57 København NV,,,
6,2965,Fanøgade 21 København Ø,"21, Fanøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711422999999996,12.572875
7,2967,H.C. Lumbyes Gade 40 København Ø,"40, H.C. Lumbyes Gade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.714659,12.573
8,2968,Lange-Müllers Gade 17 København Ø,"17, Lange-Müllers Gade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.712027,12.566977
9,2969,Badensgade 23 København S,"23, Badensgade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.663288,12.61294
10,2970,Pernillevej 8 København NV,,,
11,2972,Bentzonsvej 6 Frederiksberg,"6, Bentzonsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68401,12.528269
12,2975,Godsbanegade 5 København V,"5, Godsbanegade, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1722, Danmark",55.666678000000005,12.554306
13,2976,Edvard Glæsels Vej 5B Frederiksberg,"5B, Edvard Glæsels Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.688285,12.518933
14,2978,Aksel Møllers Have 24 Frederiksberg,"24, Aksel Møllers Have, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.685067000000004,12.531728
15,2979,Julius Bloms Gade 3 København N,"3, Julius Bloms Gade, Nørrebrogade Kronborggade jagtvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.693135999999996,12.546853
16,2980,Rantzausgade 54 København N,"54, Rantzausgade, Sorte Hest, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.687497,12.547243
17,2983,Gasværksvej 7 København V,"7, Gasværksvej, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1656, Danmark",55.671771,12.556405
18,2984,Pile Alle 5E Frederiksberg,"5E, Pile Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.673361,12.532888
19,2985,Platanvej 8 Frederiksberg C,"8, Platanvej, Sorte Hest, København, Københavns Kommune, Region Hovedstaden, 1810, Danmark",55.672738,12.5398
20,2986,Stefansgade 35 København N,"35, Stefansgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.694585,12.543161
21,2987,H.C. Ørsteds Vej 60A Frederiksberg C,"60A, H.C. Ørsteds Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 1879, Danmark",55.683565,12.551361
22,2988,Nordre Fasanvej 180 Frederiksberg,"Nordre Fasanvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.6873218,12.5270687
23,2989,Gråbrødretorv 6 København K,"6, Gråbrødretorv, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1154, Danmark",55.680099,12.576089999999999
24,2991,Tønnesvej 66 København S,"66, Tønnesvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.640843000000004,12.621058999999999
25,2992,Hyacintgården 13 København S,"13, Hyacintgården, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.648943,12.612064
26,2993,Mosesvinget 50 København NV,,,
27,2994,Guldborgvej 25 Frederiksberg,"25, Guldborgvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.686438,12.527174
28,2997,Olymposvej 54 København S,"54, Olymposvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.641789,12.624915
