,Station,Grade,Opened,Time,Zone,Longitude,Latitude
0,Albertslund,Elevated,1963,21,43/54,-12.353055555555555,-55.658055555555556
1,Allerød,Street level,1968,32,71/82,-12.356944444444444,-55.87111111111111
2,Avedøre,Elevated,1972,19,33,-12.455,-55.62555555555556
3,Bagsværd,Elevated,1977,23,1,-12.454444444444444,-55.76166666666666
4,Ballerup,Street level,1949,31,"1, 3",-12.358333333333333,-55.72972222222222
5,Bernstorffsvej,Elevated,1936,12,30,-12.556944444444445,-55.743611111111115
6,Birkerød,Street level,1968,27,71,-12.423888888888888,-55.84027777777778
7,Bispebjerg,Below street level,1996,17,2,-12.541666666666666,-55.70638888888889
8,Brøndby Strand,Elevated,1972,21,44,-12.421944444444444,-55.62111111111111
9,Brøndbyøster,Elevated,1953,18,"1, 2",-12.439655555555555,-55.664902777777776
10,Buddinge,Elevated,1977,19,1,-12.493333333333332,-55.74722222222222
11,Carlsberg,Below street level,2016,?,3,-12.536111111111111,-55.663888888888884
12,Charlottenlund,Street level,1934,13,4,-12.5725,-55.75194444444445
13,Danshøj,"Elevated, street level",2005,13,1,-12.493611111111111,-55.66416666666667
14,Dybbølsbro,Below street level,1934,6,1,-12.559444444444445,-55.665277777777774
15,Dyssegård,Elevated,1977,14,2,-12.536111111111111,-55.73222222222223
16,Egedal,Elevated,2002,40,4,-12.185555555555556,-55.77972222222222
17,Emdrup,Below street level,1977,12,1,-12.54111111111111,-55.720555555555556
18,Farum,Street level,1977,33,3,-12.373888888888889,-55.81194444444444
19,Flintholm,"Elevated, street level",2004,15,3,-12.499444444444444,-55.68583333333333
20,Frederikssund,Street level,1989,48,2,-12.065555555555557,-55.83583333333333
21,Friheden,Elevated,1972,15,33,-12.482777777777779,-55.62916666666667
22,Fuglebakken,Elevated,1936,20,3,-12.526666666666667,-55.695277777777775
23,Grøndal,Below street level,1936,18,3,-12.515555555555556,-55.690555555555555
24,Gentofte,Street level,1936,14,30/31/40/41,-12.54138888888889,-55.75361111111111
25,Glostrup,Street level,1953,18,3,-12.397222222222222,-55.66291666666667
26,Greve,Elevated,1979,27,67,-12.296666666666667,-55.58166666666667
27,Hareskov,Street level,1977,27,3,-12.407222222222222,-55.76555555555556
28,Hellerup,Street level,1934,9,2/30,-12.566666666666666,-55.73111111111111
29,Herlev,Elevated,1949,22,3,-12.443611111111112,-55.71888888888889
30,Hillerød,Street level,1968,37,9,-12.310833333333335,-55.926944444444445
31,Holte,Street level,1936,22,51/61,-12.468333333333334,-55.8075
32,Hundige,Below street level,1976,24,55/67,-12.33388888888889,-55.59805555555556
33,Husum,Below street level,1977,20,3,-12.463888888888889,-55.70944444444445
34,Hvidovre,Elevated,1953,15,3,-12.473888888888888,-55.66444444444444
35,Høje Taastrup,Below street level,1986,30,3,-12.269166666666667,-55.64861111111111
36,Ishøj,Elevated,1976,21,55,-12.357777777777777,-55.61333333333334
37,Islev,Elevated,1949,20,3,-12.469166666666666,-55.69888888888889
38,Jersie,Elevated,1983,35,89/99,-12.208333333333332,-55.52055555555555
39,Jyllingevej,Street level,1949,19,3,-12.476944444444445,-55.69083333333333
40,Jægersborg,Elevated,1936,14,41,-12.521666666666668,-55.76166666666666
41,Karlslunde,Elevated,1979,29,67/77,-12.26888888888889,-55.566111111111105
42,KB Hallen,Below street level,2005,20,3,-12.492333333333333,-55.67777777777778
43,Kildebakke,Street level,1977,17,3,-12.507777777777777,-55.74472222222222
